kategorie,frage,option_1,option_2,option_3,option_4,richtige_antwort,erklaerung
Netzwerk,Was ist ein Honeypot in der Netzwerksicherheit?,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Eine Sicherheitsmaßnahme,Ein Speichergerät,Eine Sicherheitsmaßnahme,Ein Honeypot ist eine Falle für potenzielle Angreifer um deren Aktivitäten zu überwachen.
Netzwerk,Was bedeutet die Abkürzung WLAN?,Wide Local Area Network,Wireless Local Area Network,Wide Local Access Network,Wireless Local Access Network,Wireless Local Area Network,WLAN ist ein drahtloses lokales Netzwerk.
Netzwerk,Was ist ein Traceroute?,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Ein Netzwerkdiagnosewerkzeug,Ein Speichergerät,Ein Netzwerkdiagnosewerkzeug,Traceroute zeigt den Weg der Datenpakete in einem Netzwerk an.
Netzwerk,Was ist ein Botnet?,Ein Netzwerk von Computern die für Berechnungen verwendet werden,Ein Netzwerk von infizierten Computern,Ein Netzwerk von sicheren Computern,Ein Netzwerk von Routern,Ein Netzwerk von infizierten Computern,Ein Botnet ist ein Netzwerk von Computern die mit Malware infiziert sind und unter der Kontrolle eines Angreifers stehen.
Netzwerk,Welches Protokoll wird verwendet um E-Mails abzurufen?,SMTP,IMAP,HTTP,FTP,IMAP,IMAP (Internet Message Access Protocol) wird verwendet um E-Mails von einem Server abzurufen.
Netzwerk,Was ist ein Hotspot?,Ein drahtloser Zugangspunkt,Ein Netzwerkgerät,Ein Speichermedium,Ein Sicherheitsprotokoll,Ein drahtloser Zugangspunkt,Ein Hotspot ermöglicht drahtlosen Internetzugang an öffentlichen Orten.
Netzwerk,Welches Protokoll wird verwendet um IP-Adressen in MAC-Adressen umzuwandeln?,DHCP,ARP,ICMP,DNS,ARP,ARP (Address Resolution Protocol) wandelt IP-Adressen in MAC-Adressen um.
Netzwerk,Was bedeutet die Abkürzung FTP?,File Transfer Protocol,File Transmission Protocol,File Transport Protocol,File Tracking Protocol,File Transfer Protocol,FTP wird für die Übertragung von Dateien verwendet.
Netzwerk,Was ist ein Ping?,Ein Netzwerkdruck,Ein Netzwerkbefehl,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Ein Netzwerkbefehl,Ein Ping-Befehl testet die Erreichbarkeit eines Hosts in einem IP-Netzwerk.
Netzwerk,Was ist eine Gateway-Adresse?,Eine Hardwareadresse,Eine Netzwerkadresse,Eine IP-Adresse eines Netzwerkgeräts,Ein Netzwerkprotokoll,Eine IP-Adresse eines Netzwerkgeräts,Eine Gateway-Adresse ist die IP-Adresse eines Netzwerkgeräts das als Ausgangspunkt für den Zugriff auf andere Netzwerke dient.
Netzwerk,Was bedeutet die Abkürzung NAT?,Network Address Translation,Network Address Transmission,Network Access Translation,Network Access Transmission,Network Address Translation,NAT wandelt private IP-Adressen in öffentliche IP-Adressen um.
Netzwerk,Was ist ein Load Balancer?,Ein Gerät zur Gewichtsmessung,Ein Gerät zur Lastverteilung,Ein Speichergerät,Ein Druckgerät,Ein Gerät zur Lastverteilung,Ein Load Balancer verteilt die Last auf mehrere Server um die Leistung zu optimieren.
Netzwerk,Was bedeutet die Abkürzung DHCP?,Dynamic Host Configuration Protocol,Domain Host Configuration Protocol,Dynamic Host Control Protocol,Domain Host Control Protocol,Dynamic Host Configuration Protocol,DHCP weist Geräten in einem Netzwerk automatisch IP-Adressen zu.
Netzwerk,Was ist eine SSID?,Ein Netzwerkprotokoll,Ein Netzwerkgerät,Ein Netzwerkname,Ein Sicherheitsprotokoll,Ein Netzwerkname,SSID (Service Set Identifier) ist der Name eines drahtlosen Netzwerks.
Netzwerk,Welches Protokoll wird verwendet um Webseiten zu verschlüsseln?,HTTP,HTTPS,FTP,DNS,HTTPS,HTTPS verschlüsselt Webseiten für sichere Kommunikation.
Netzwerk,Was bedeutet die Abkürzung DNS?,Domain Network Service,Domain Name System,Digital Network System,Digital Name Service,Domain Name System,Das DNS (Domain Name System) wandelt Domainnamen in IP-Adressen um.
Netzwerk,Welches Protokoll wird verwendet um Netzwerkgeräte zu verwalten?,HTTP,FTP,SNMP,DNS,SNMP,SNMP (Simple Network Management Protocol) wird zur Verwaltung von Netzwerkgeräten verwendet.
Netzwerk,Was ist ein Subnetz?,Ein Teilnetzwerk,Ein übergeordnetes Netzwerk,Ein IP-Adressen-Bereich,Ein Netzwerkknoten,Ein Teilnetzwerk,Ein Subnetz ist ein untergeordnetes Teilnetzwerk innerhalb eines größeren Netzwerks.
Netzwerk,Was bedeutet die Abkürzung ARP?,Address Resolution Protocol,Address Routing Protocol,Address Registration Protocol,Address Remote Protocol,Address Resolution Protocol,ARP wandelt IP-Adressen in MAC-Adressen um.
Netzwerk,Was ist ein VPN?,Virtual Personal Network,Very Private Network,Virtual Private Network,Very Personal Network,Virtual Private Network,Ein VPN ermöglicht eine sichere Verbindung über ein öffentliches Netzwerk.
Netzwerk,Was bedeutet die Abkürzung TCP/IP?,Transmission Control Protocol/Internet Protocol,Transfer Control Protocol/Internet Protocol,Transmission Configuration Protocol/Internet Protocol,Transfer Configuration Protocol/Internet Protocol,Transmission Control Protocol/Internet Protocol,TCP/IP ist eine Protokollfamilie für die Kommunikation in Netzwerken.
Netzwerk,Was ist ein NAT?,Ein Speichergerät,Ein Netzwerkgerät,Ein Sicherheitsprotokoll,Ein Übersetzungsmechanismus,Ein Übersetzungsmechanismus,NAT (Network Address Translation) wandelt private IP-Adressen in öffentliche IP-Adressen um.
Netzwerk,Was ist ein VLAN?,Ein virtuelles Netzwerksegment,Ein öffentliches Netzwerk,Ein drahtloses Netzwerk,Ein globales Netzwerk,Ein virtuelles Netzwerksegment,Ein VLAN (Virtual Local Area Network) trennt Netzwerke logisch unabhängig von ihrer physischen Verbindung.
Netzwerk,Was bedeutet die Abkürzung BGP?,Border Gateway Protocol,Boundary Gateway Protocol,Binary Gateway Protocol,Base Gateway Protocol,Border Gateway Protocol,BGP ist ein Protokoll zum Austausch von Routing-Informationen zwischen autonomen Systemen.
Netzwerk,Was ist ein Honeypot in der Netzwerksicherheit?,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Eine Sicherheitsmaßnahme,Ein Speichergerät,Eine Sicherheitsmaßnahme,Ein Honeypot ist eine Falle für potenzielle Angreifer um deren Aktivitäten zu überwachen.
Netzwerk,Welches Protokoll wird für die Auflösung von Domänennamen verwendet?,HTTP,FTP,DNS,TCP,DNS,DNS (Domain Name System) wandelt Domänennamen in IP-Adressen um.
Netzwerk,Was ist eine Broadcast-Adresse?,Eine spezifische IP-Adresse,Eine IP-Adresse für den Versand an alle Geräte im Netzwerk,Ein Netzwerkgerät,Ein Speichergerät,Eine IP-Adresse für den Versand an alle Geräte im Netzwerk,Eine Broadcast-Adresse ermöglicht die Übertragung von Nachrichten an alle Geräte in einem Netzwerksegment.
Netzwerk,Welches Protokoll wird verwendet um E-Mails abzurufen?,SMTP,IMAP,HTTP,FTP,IMAP,IMAP (Internet Message Access Protocol) wird verwendet um E-Mails von einem Server abzurufen.
Netzwerk,Was ist ein SSID?,Ein Netzwerkprotokoll,Ein Netzwerkgerät,Ein Netzwerkname,Ein Sicherheitsprotokoll,Ein Netzwerkname,SSID (Service Set Identifier) ist der Name eines drahtlosen Netzwerks.
Netzwerk,Was bedeutet die Abkürzung SSL?,Secure Sockets Layer,Secure System Layer,Secure Software Layer,Secure Server Layer,Secure Sockets Layer,SSL ist ein Sicherheitsprotokoll zur Verschlüsselung von Datenübertragungen im Internet.
Netzwerk,Was bedeutet die Abkürzung ICMP?,Internet Control Message Protocol,Internet Configuration Message Protocol,Internet Control Management Protocol,Internet Configuration Management Protocol,Internet Control Message Protocol,ICMP wird für Fehlermeldungen und Diagnosefunktionen verwendet.
Netzwerk,Was bedeutet die Abkürzung OSPF?,Open Shortest Path First,Open Source Path First,Open Short Path First,Open Shortest Protocol First,Open Shortest Path First,OSPF ist ein Routing-Protokoll für IP-Netzwerke.
Netzwerk,Welches Protokoll wird hauptsächlich für den Versand von E-Mails verwendet?,FTP,HTTP,SMTP,IMAP,SMTP,SMTP (Simple Mail Transfer Protocol) wird zum Versand von E-Mails verwendet.
Netzwerk,Welches Gerät wird verwendet um ein Netzwerk zu segmentieren?,Router,Switch,Hub,Bridge,Bridge,Eine Bridge segmentiert ein Netzwerk und leitet Daten zwischen den Segmenten weiter.
Netzwerk,Was ist ein Hotspot?,Ein drahtloser Zugangspunkt,Ein Netzwerkgerät,Ein Speichermedium,Ein Sicherheitsprotokoll,Ein drahtloser Zugangspunkt,Ein Hotspot ermöglicht drahtlosen Internetzugang an öffentlichen Orten.
Netzwerk,Was ist ein Proxy-Server?,Ein Webserver,Ein E-Mail-Server,Ein Vermittlungsserver,Ein Datenbankserver,Ein Vermittlungsserver,Ein Proxy-Server agiert als Vermittler zwischen einem Client und einem Zielserver.
Netzwerk,Was ist eine DMZ in einem Netzwerk?,Ein sicherer Bereich,Ein unsicherer Bereich,Ein demilitarisierter Bereich,Ein privater Bereich,Ein demilitarisierter Bereich,Eine DMZ (Demilitarized Zone) ist ein Bereich der vom internen Netzwerk und vom öffentlichen Internet getrennt ist.
Netzwerk,Was ist ein Ping?,Ein Netzwerkdruck,Ein Netzwerkbefehl,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Ein Netzwerkbefehl,Ein Ping-Befehl testet die Erreichbarkeit eines Hosts in einem IP-Netzwerk.
Netzwerk,Welches Protokoll wird verwendet um Webseiten zu laden?,FTP,HTTP,SMTP,SNMP,HTTP,HTTP (HyperText Transfer Protocol) wird verwendet um Webseiten zu laden.
Netzwerk,Was ist ein Traceroute?,Ein Netzwerkgerät,Ein Netzwerkprotokoll,Ein Netzwerkdiagnosewerkzeug,Ein Speichergerät,Ein Netzwerkdiagnosewerkzeug,Traceroute zeigt den Weg der Datenpakete in einem Netzwerk an.
Netzwerk,Was ist eine Portnummer?,Eine eindeutige IP-Adresse,Eine Netzwerkprotokolladresse,Eine Hardware-Adresse,Eine logische Adresse für Netzwerkdienste,Eine logische Adresse für Netzwerkdienste,Eine Portnummer identifiziert spezifische Netzwerkdienste auf einem Host.
Netzwerk,Welches der folgenden ist eine drahtlose Netzwerkverbindung?,Ethernet,WLAN,Token Ring,Fiber,Wi-Fi,Wi-Fi (Wireless Fidelity) ist eine drahtlose Netzwerkverbindung.
Netzwerk,Was bedeutet die Abkürzung LAN?,Local Area Network,Large Area Network,Long Area Network,Local Access Network,Local Area Network,Ein LAN ist ein lokales Netzwerk das Geräte in einem begrenzten geografischen Bereich verbindet.
Netzwerk,Was ist eine IP-Adresse?,Eine Hardwarekomponente,Eine eindeutige Netzwerkadresse,Ein Speichergerät,Ein Softwareprogramm,Eine eindeutige Netzwerkadresse,Eine IP-Adresse identifiziert eindeutig ein Gerät in einem Netzwerk.
Netzwerk,Was ist eine Netzwerkmaske?,Eine Schutzvorrichtung,Eine Netzwerksicherheitsmaßnahme,Ein Netzwerkkonfigurationsparameter,Ein Speichergerät,Ein Netzwerkkonfigurationsparameter,Eine Netzwerkmaske definiert die Größe eines Subnetzes in einem IP-Netzwerk.
Netzwerk,Was bedeutet die Abkürzung WAN?,Wide Area Network,World Area Network,Wide Access Network,Wireless Area Network,Wide Area Network,Ein WAN ist ein Weitverkehrsnetzwerk das große geografische Bereiche abdeckt.
Netzwerk,Was ist eine MAC-Adresse?,Eine eindeutige IP-Adresse,Eine Netzwerkprotokolladresse,Eine Hardware-Adresse,Eine E-Mail-Adresse,Eine Hardware-Adresse,Eine MAC-Adresse ist eine eindeutige Kennung für Netzwerkgeräte.
Netzwerk,Was ist ein Hub?,Ein Gerät zur Verbindung von Netzwerken,Ein Gerät zur Verbindung von Computern innerhalb eines Netzwerks,Ein Gerät zur Steuerung des Bildschirms,Ein Gerät zur Speicherung von Daten,Ein Gerät zur Verbindung von Computern innerhalb eines Netzwerks,Ein Hub verbindet mehrere Computer innerhalb eines Netzwerks.
Netzwerk,Was ist ein Intranet?,Ein öffentliches Netzwerk,Ein privates Netzwerk,Ein globales Netzwerk,Ein drahtloses Netzwerk,Ein privates Netzwerk,Ein Intranet ist ein privates Netzwerk innerhalb einer Organisation.
Netzwerk,Was ist ein Load Balancer?,Ein Gerät zur Gewichtsmessung,Ein Gerät zur Lastverteilung,Ein Speichergerät,Ein Druckgerät,Ein Gerät zur Lastverteilung,Ein Load Balancer verteilt die Last auf mehrere Server um die Leistung zu optimieren.
Netzwerk,Was ist ein Switch?,Ein Gerät zum Verbinden von Netzwerken,Ein Gerät zum Verbinden von Computern innerhalb eines Netzwerks,Ein Gerät zum Senden von E-Mails,Ein Gerät zum Drucken,Ein Gerät zum Verbinden von Computern innerhalb eines Netzwerks,Ein Switch verbindet mehrere Computer innerhalb eines Netzwerks.
Netzwerk,Was ist eine Firewall?,Ein Sicherheitsmechanismus,Ein Netzwerkgerät,Ein Speichergerät,Ein Drucker,Ein Sicherheitsmechanismus,Eine Firewall schützt Netzwerke vor unautorisierten Zugriffen.
Datenbank,Was bedeutet die Abkürzung SQL?,Structured Query Language,Standard Query Language,Simple Query Language,System Query Language,Structured Query Language,SQL ist die Abkürzung für Structured Query Language und wird zur Verwaltung und Abfrage von Daten in relationalen Datenbanksystemen verwendet.
Datenbank,Welcher der folgenden Befehle wird verwendet um Daten in eine Tabelle einzufügen?,INSERT,UPDATE,DELETE,SELECT,INSERT,Der INSERT-Befehl wird verwendet um Daten in eine Tabelle einzufügen.
Datenbank,Was ist ein Primärschlüssel?,Eine eindeutige Spalte,Eine nicht eindeutige Spalte,Eine Spalte mit Duplikaten,Eine Spalte mit NULL-Werten,Eine eindeutige Spalte,Ein Primärschlüssel ist eine Spalte oder eine Kombination von Spalten die jeden Datensatz in einer Tabelle eindeutig identifiziert.
Datenbank,Welche SQL-Anweisung wird verwendet um Daten aus einer Datenbank abzurufen?,SELECT,INSERT,UPDATE,DELETE,SELECT,Die SELECT-Anweisung wird verwendet um Daten aus einer Datenbank abzurufen.
Datenbank,Was ist eine Normalisierung?,Der Prozess der Datenbank-Optimierung,Der Prozess der Datenbank-Redundanz,Der Prozess der Datenbank-Indizierung,Der Prozess der Datenbank-Denormalisierung,Der Prozess der Datenbank-Optimierung,Normalisierung ist der Prozess der Organisation von Daten in einer Datenbank um Redundanzen zu reduzieren.
Datenbank,Was ist eine Fremdschlüsselbeziehung?,Eine Beziehung zwischen zwei Tabellen,Eine Beziehung zwischen zwei Spalten,Eine Beziehung zwischen zwei Datenbanken,Eine Beziehung zwischen zwei Indexen,Eine Beziehung zwischen zwei Tabellen,Eine Fremdschlüsselbeziehung ist eine Beziehung zwischen zwei Tabellen bei der eine Spalte (der Fremdschlüssel) auf den Primärschlüssel einer anderen Tabelle verweist.
Datenbank,Welcher der folgenden Befehle wird verwendet um Daten in einer Tabelle zu ändern?,UPDATE,INSERT,DELETE,SELECT,UPDATE,Der UPDATE-Befehl wird verwendet um bestehende Daten in einer Tabelle zu ändern.
Datenbank,Was ist ein Index?,Eine Struktur, die den schnellen Zugriff auf Daten ermöglicht,Ein zusätzlicher Datensatz,Eine zusätzliche Tabelle,Ein zusätzlicher Schlüssel,Eine Struktur die den schnellen Zugriff auf Daten ermöglicht Ein Index ist eine Datenstruktur die verwendet wird um den schnellen Zugriff auf die Daten in einer Tabelle zu ermöglichen.
Datenbank,Welcher der folgenden Befehle wird verwendet um eine Tabelle zu löschen?,DROP,DELETE,REMOVE,TRUNCATE,DROP,Der DROP-Befehl wird verwendet um eine Tabelle vollständig aus der Datenbank zu löschen.
Datenbank,Was ist eine JOIN-Operation in SQL?,Eine Operation um Daten aus mehreren Tabellen zu kombinieren,Eine Operation um Daten aus einer Tabelle zu löschen,Eine Operation um Daten in eine Tabelle einzufügen,Eine Operation um Daten in einer Tabelle zu ändern,Eine Operation um Daten aus mehreren Tabellen zu kombinieren,Die JOIN-Operation wird verwendet um Daten aus mehreren Tabellen basierend auf einer verwandten Spalte zu kombinieren.
Datenbank,Was ist ein Datenbank-Trigger?,Ein gespeichertes SQL-Skript, das bei bestimmten Ereignissen ausgeführt wird,Eine SQL-Anweisung zum Abrufen von Daten,Ein SQL-Befehl zum Ändern von Daten,Ein Mechanismus zur Sicherung der Datenbank,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird Ein Trigger ist ein gespeichertes SQL-Skript das automatisch ausgeführt wird wenn bestimmte Ereignisse in der Datenbank eintreten.
Datenbank,Welcher der folgenden Befehle wird verwendet um eine neue Datenbank zu erstellen?,CREATE,DROP,INSERT,SELECT,CREATE,Der CREATE-Befehl wird verwendet um eine neue Datenbank zu erstellen.
Datenbank,Was bedeutet die Abkürzung DML?,Data Manipulation Language,Data Management Language,Database Manipulation Language,Database Management Language,Data Manipulation Language,DML steht für Data Manipulation Language und umfasst SQL-Befehle wie SELECT INSERT UPDATE und DELETE.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Abfolge von Operationen, die als eine Einheit ausgeführt werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden Eine Transaktion ist eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet und entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was ist der Unterschied zwischen CHAR und VARCHAR?,CHAR hat feste Länge VARCHAR hat variable Länge,CHAR hat variable Länge VARCHAR hat feste Länge,Es gibt keinen Unterschied, CHAR ist für Zahlen VARCHAR für Text, CHAR hat feste Länge VARCHAR hat variable Länge, CHAR ist ein Datentyp mit fester Länge während VARCHAR eine variable Länge hat.
Datenbank,Welche SQL-Anweisung wird verwendet um eine Tabelle zu ändern?,ALTER,DROP,INSERT,UPDATE,ALTER,Die ALTER-Anweisung wird verwendet um die Struktur einer bestehenden Tabelle zu ändern.
Datenbank,Was ist ein Stored Procedure?,Eine gespeicherte SQL-Abfrage, die wiederholt ausgeführt werden kann,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Eine gespeicherte SQL-Abfrage die wiederholt ausgeführt werden kann Ein Stored Procedure ist eine gespeicherte SQL-Abfrage die wiederholt ausgeführt werden kann und auf der Datenbank gespeichert ist.
Datenbank,Was ist ein VIEW in SQL?,Eine virtuelle Tabelle basierend auf dem Ergebnis einer SQL-Abfrage,Eine permanente Tabelle,Ein temporärer Datensatz,Eine zusätzliche Datenbank,Eine virtuelle Tabelle basierend auf dem Ergebnis einer SQL-Abfrage,Ein VIEW ist eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert.
Datenbank,Was ist eine Datenbankabfrage?,Eine Anweisung um Daten aus einer Datenbank abzurufen,Eine Anweisung um Daten in eine Datenbank einzufügen,Eine Anweisung um Daten in einer Datenbank zu ändern,Eine Anweisung um eine Datenbank zu löschen,Eine Anweisung um Daten aus einer Datenbank abzurufen,Eine Datenbankabfrage ist eine Anweisung die verwendet wird um Daten aus einer Datenbank abzurufen.
Datenbank,Was bedeutet die Abkürzung DDL?,Data Definition Language,Data Description Language,Database Definition Language,Database Description Language,Data Definition Language,DDL steht für Data Definition Language und umfasst SQL-Befehle wie CREATE ALTER und DROP.
Datenbank,Was ist ein Schema in einer Datenbank?,Eine Struktur die die Organisation von Daten beschreibt,Ein SQL-Befehl,Ein Datenbank-Benutzer,Ein Backup der Datenbank,Eine Struktur die die Organisation von Daten beschreibt,Ein Schema beschreibt die Struktur und die Organisation der Daten in einer Datenbank.
Datenbank,Welcher der folgenden Befehle wird verwendet um eine Tabelle zu leeren?,TRUNCATE,DELETE,DROP,REMOVE,TRUNCATE,Der TRUNCATE-Befehl wird verwendet um alle Daten aus einer Tabelle zu entfernen ohne die Tabelle selbst zu löschen.
Datenbank,Was ist der Unterschied zwischen DELETE und TRUNCATE?,DELETE entfernt einzelne Zeilen TRUNCATE entfernt alle Zeilen,DELETE entfernt alle Zeilen TRUNCATE entfernt einzelne Zeilen,DELETE löscht die Tabelle TRUNCATE löscht die Datenbank,DELETE erstellt ein Backup TRUNCATE erstellt kein Backup,DELETE entfernt einzelne Zeilen TRUNCATE entfernt alle Zeilen, DELETE entfernt einzelne Zeilen basierend auf einer Bedingung während TRUNCATE alle Zeilen aus einer Tabelle entfernt.
Datenbank,Was ist eine relationale Datenbank?,Eine Datenbank die Daten in Tabellen organisiert,Eine Datenbank die Daten in Dokumenten organisiert,Eine Datenbank die Daten in Schlüssel-Wert-Paaren organisiert,Eine Datenbank die Daten in Graphen organisiert,Eine Datenbank die Daten in Tabellen organisiert,Eine relationale Datenbank organisiert Daten in Tabellen die durch Beziehungen miteinander verbunden sind.
Datenbank,Welcher der folgenden Datentypen speichert Text?,VARCHAR,INT,FLOAT,DATE,VARCHAR,Der Datentyp VARCHAR wird verwendet um Text zu speichern.
Datenbank,Was ist ein Clustered Index?,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Index der keine physische Reihenfolge hat,Ein temporärer Index,Ein zusätzlicher Datensatz,Ein Index der die physische Reihenfolge der Daten in der Tabelle bestimmt,Ein Clustered Index bestimmt die physische Reihenfolge der Daten in der Tabelle und ist in der Regel der Primärschlüssel.
Datenbank,Was ist eine Datenbanktransaktion?,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet werden,Eine Datenbanktransaktion ist eine Abfolge von Operationen die entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was ist der Zweck eines Datenbankindex?,Den schnellen Zugriff auf Daten zu ermöglichen,Die Datenbank zu sichern,Die Datenbank zu löschen,Die Datenbank zu aktualisieren,Den schnellen Zugriff auf Daten zu ermöglichen,Ein Datenbankindex wird verwendet um den schnellen Zugriff auf die Daten in einer Tabelle zu ermöglichen.
Datenbank,Was bedeutet die Abkürzung RDBMS?,Relational Database Management System,Real-time Database Management System,Remote Database Management System,Read-only Database Management System,Relational Database Management System,RDBMS steht für Relational Database Management System und bezeichnet ein System zur Verwaltung relationaler Datenbanken.
Datenbank,Was ist ein Sekundärschlüssel?,Ein zusätzlicher Schlüssel der nicht der Primärschlüssel ist,Der Primärschlüssel,Ein Fremdschlüssel,Ein temporärer Schlüssel,Ein zusätzlicher Schlüssel der nicht der Primärschlüssel ist,Ein Sekundärschlüssel ist ein zusätzlicher Schlüssel der zur Indizierung und zum schnellen Zugriff auf Daten verwendet wird aber nicht der Primärschlüssel ist.
Datenbank,Was ist der Unterschied zwischen UNION und UNION ALL in SQL?,UNION entfernt Duplikate UNION ALL behält alle Duplikate,UNION behält alle Duplikate UNION ALL entfernt Duplikate,Es gibt keinen Unterschied,UNION entfernt NULL-Werte UNION ALL behält NULL-Werte,UNION entfernt Duplikate UNION ALL behält alle Duplikate,UNION kombiniert die Ergebnisse zweier Abfragen und entfernt Duplikate während UNION ALL alle Ergebnisse einschließlich Duplikaten kombiniert.
Datenbank,Was ist eine Datenbankansicht?,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine permanente Tabelle,Ein temporärer Datensatz,Eine zusätzliche Datenbank,Eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert,Eine Datenbankansicht ist eine virtuelle Tabelle die auf dem Ergebnis einer SQL-Abfrage basiert und keine eigenen Daten speichert.
Datenbank,Was ist ein Trigger in einer Datenbank?,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein gespeichertes SQL-Skript das bei bestimmten Ereignissen ausgeführt wird,Ein Trigger ist ein gespeichertes SQL-Skript das automatisch ausgeführt wird wenn bestimmte Ereignisse in der Datenbank eintreten.
Datenbank,Was ist ein Datenbank-Snapshot?,Ein Abbild des aktuellen Zustands der Datenbank,Ein Backup der Datenbank,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Abbild des aktuellen Zustands der Datenbank,Ein Datenbank-Snapshot ist ein Abbild des aktuellen Zustands der Datenbank zu einem bestimmten Zeitpunkt.
Datenbank,Was ist eine Transaktion in einer Datenbank?,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine einzelne SQL-Abfrage,Ein Datenbank-Backup,Ein Datenbank-Fehler,Eine Abfolge von Operationen die als eine Einheit ausgeführt werden,Eine Transaktion ist eine Abfolge von Datenbankoperationen die als eine Einheit betrachtet und entweder vollständig ausgeführt oder vollständig zurückgesetzt werden.
Datenbank,Was bedeutet die Abkürzung OLAP?,Online Analytical Processing,Online Access Processing,Online Active Processing,Online Analysis Processing,Online Analytical Processing,OLAP steht für Online Analytical Processing und bezeichnet Systeme zur Unterstützung von Analyse- und Abfragevorgängen.
Datenbank,Was ist ein Rollback in einer Datenbank?,Das Zurücksetzen von Änderungen,Das Bestätigen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Zurücksetzen von Änderungen,Ein Rollback setzt Änderungen in einer Datenbank zurück und stellt den vorherigen Zustand wieder her.
Datenbank,Was ist ein Commit in einer Datenbank?,Das Bestätigen von Änderungen,Das Zurücksetzen von Änderungen,Das Löschen von Daten,Das Einfügen von Daten,Das Bestätigen von Änderungen,Ein Commit bestätigt alle Änderungen die während einer Transaktion vorgenommen wurden.
Datenbank,Was bedeutet die Abkürzung ERD?,Entity Relationship Diagram,Entity Resource Diagram,Entity Relationship Database,Entity Resource Database,Entity Relationship Diagram,ERD steht für Entity Relationship Diagram und ist eine grafische Darstellung der Beziehungen zwischen Entitäten in einer Datenbank.
Datenbank,Was ist eine Subquery?,Eine Abfrage innerhalb einer anderen Abfrage,Eine Abfrage außerhalb einer anderen Abfrage,Eine Abfrage die keine Bedingungen hat,Eine Abfrage die Daten löscht,Eine Abfrage innerhalb einer anderen Abfrage,Eine Subquery ist eine Abfrage die innerhalb einer anderen Abfrage verschachtelt ist.
Datenbank,Was ist ein Schema in einer Datenbank?,Eine Struktur die die Organisation von Daten beschreibt,Ein SQL-Befehl,Ein Datenbank-Benutzer,Ein Backup der Datenbank,Eine Struktur die die Organisation von Daten beschreibt,Ein Schema beschreibt die Struktur und die Organisation der Daten in einer Datenbank.
Datenbank,Was ist ein Composite Key?,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Schlüssel der aus einer einzigen Spalte besteht,Ein temporärer Schlüssel,Ein Fremdschlüssel,Ein Schlüssel der aus mehr als einer Spalte besteht,Ein Composite Key ist ein Schlüssel der aus mehr als einer Spalte besteht und zur eindeutigen Identifizierung eines Datensatzes verwendet wird.
Datenbank,Was ist ein Cursor in SQL?,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein temporärer Datensatz,Ein Mechanismus zur Datensicherung,Ein Schlüssel zum Verschlüsseln von Daten,Ein Mechanismus zum Durchlaufen von Datensätzen,Ein Cursor ist ein Mechanismus in SQL der verwendet wird um Datensätze einer Abfrage einzeln zu durchlaufen.
Datenbank,Was bedeutet die Abkürzung XML?,Extensible Markup Language,Executable Markup Language,Extended Markup Language,Exponential Markup Language,Extensible Markup Language,XML steht für Extensible Markup Language und wird verwendet um strukturierte Daten zu speichern und zu transportieren.
Datenbank,Was ist ein Sekundärindex?,Ein zusätzlicher Index der nicht der Primärindex ist,Der Primärindex,Ein Fremdschlüssel,Ein temporärer Index,Ein zusätzlicher Index der nicht der Primärindex ist,Ein Sekundärindex ist ein zusätzlicher Index der zur Indizierung und zum schnellen Zugriff auf Daten verwendet wird aber nicht der Primärindex ist.
